epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
278,0.0514,0.0049,0.0448,0.0357,3.1852,0.1118,0.1083,71
279,0.0509,0.0047,0.0444,0.0351,3.1967,0.1272,0.1225,71
280,0.0503,0.0047,0.0439,0.0343,3.0317,0.1557,0.1582,71
281,0.0508,0.0046,0.0446,0.0351,3.0064,0.1474,0.1495,71
282,0.0511,0.0049,0.0444,0.0348,3.1833,0.1093,0.1047,71
283,0.0510,0.0047,0.0444,0.0350,3.2777,0.1047,0.1036,71
284,0.0507,0.0045,0.0443,0.0352,3.2610,0.0954,0.0922,71
285,0.0515,0.0046,0.0450,0.0357,3.2343,0.1177,0.1091,71
286,0.0510,0.0047,0.0446,0.0357,3.0706,0.1509,0.1577,71
287,0.0515,0.0047,0.0450,0.0358,3.1999,0.1094,0.1055,71
288,0.0513,0.0046,0.0449,0.0361,3.1592,0.1089,0.1061,71
289,0.0511,0.0047,0.0447,0.0358,3.1323,0.1385,0.1355,71
290,0.0502,0.0045,0.0440,0.0352,3.0741,0.1314,0.1243,71
291,0.0505,0.0047,0.0443,0.0351,2.9980,0.1699,0.1656,71
292,0.0507,0.0047,0.0444,0.0356,2.9969,0.1418,0.1352,71
293,0.0505,0.0047,0.0440,0.0355,3.1908,0.1207,0.1104,71
294,0.0505,0.0046,0.0441,0.0357,3.1864,0.1236,0.1216,71
295,0.0505,0.0045,0.0441,0.0357,3.2254,0.1140,0.1099,71
296,0.0506,0.0046,0.0441,0.0357,3.1947,0.1334,0.1282,71
297,0.0501,0.0044,0.0438,0.0354,3.2130,0.1162,0.1116,71
298,0.0506,0.0046,0.0442,0.0362,3.2063,0.1276,0.1324,71
299,0.0506,0.0046,0.0442,0.0359,3.2110,0.1168,0.1187,71
300,0.0511,0.0045,0.0447,0.0369,3.2945,0.1089,0.1050,71
301,0.0502,0.0046,0.0438,0.0355,3.1696,0.1326,0.1361,71
302,0.0509,0.0045,0.0445,0.0365,3.1733,0.1041,0.0987,71
303,0.0504,0.0046,0.0440,0.0366,3.1348,0.1462,0.1421,71
304,0.0506,0.0044,0.0442,0.0367,3.2841,0.1031,0.1037,71
305,0.0500,0.0045,0.0437,0.0358,3.0451,0.1322,0.1285,71
306,0.0504,0.0046,0.0440,0.0364,3.2763,0.1386,0.1352,71
307,0.0502,0.0045,0.0437,0.0366,3.2475,0.1000,0.1062,71
308,0.0502,0.0043,0.0439,0.0368,3.2574,0.1379,0.1221,71
309,0.0499,0.0044,0.0439,0.0365,3.0214,0.1709,0.1702,71
310,0.0496,0.0046,0.0434,0.0361,2.9930,0.1599,0.1622,71
311,0.0495,0.0043,0.0435,0.0365,2.9004,0.1699,0.1689,71
312,0.0497,0.0045,0.0435,0.0367,3.0952,0.1231,0.1141,71
313,0.0501,0.0044,0.0439,0.0369,3.1156,0.1106,0.1083,71
314,0.0504,0.0046,0.0439,0.0374,3.2978,0.1044,0.1030,71
